Usuario: admin | Busqueda: maria | Tipo: users | Fecha: 2026-05-06 11:25:19.395916
Usuario: Denisse | Busqueda: maria | Tipo: users | Fecha: 2026-05-06 12:38:57.817517
Usuario: Denisse | Busqueda: valentina | Tipo: users | Fecha: 2026-05-06 12:39:03.149976
Usuario: Denisse | Busqueda: valentina | Tipo: users | Fecha: 2026-05-06 13:04:40.965061
Usuario: Denisse | Busqueda: valentina | Tipo: users | Fecha: 2026-05-06 13:05:58.988123
Usuario: Denisse | Busqueda: valentina | Tipo: users | Fecha: 2026-05-06 13:06:16.491527
Usuario: Denisse | Busqueda: valentina | Tipo: users | Fecha: 2026-05-06 13:06:28.512017
Usuario: Denisse | Busqueda: valentina | Tipo: users | Fecha: 2026-05-06 13:06:43.178933
Usuario: Denisse | Busqueda: valentina | Tipo: users | Fecha: 2026-05-06 13:07:06.237923
Usuario: Denisse | Busqueda: valentina | Tipo: users | Fecha: 2026-05-06 13:07:57.636833
Usuario: Denisse | Busqueda: valentina | Tipo: users | Fecha: 2026-05-06 13:09:18.856146
Usuario: Denisse | Busqueda: pc-01 | Tipo: computers | Fecha: 2026-05-06 14:47:57.953663
Usuario: Denisse | Busqueda: pc-01 | Tipo: computers | Fecha: 2026-05-06 14:51:17.522505
Usuario: Denisse | Busqueda: valentina | Tipo: users | Fecha: 2026-05-06 14:51:24.221448
Usuario: Denisse | Busqueda: valentina | Tipo: users | Fecha: 2026-05-06 14:51:33.298169
Usuario: Denisse | Busqueda: valentina | Tipo: users | Fecha: 2026-05-06 14:51:38.872702
Usuario: Denisse | Busqueda: pc-01 | Tipo: computers | Fecha: 2026-05-06 14:51:50.311144
Usuario: Denisse | Busqueda: PC-01 | Tipo: computers | Fecha: 2026-05-06 14:52:13.345807
Usuario: Denisse | Busqueda: VBONILLA | Tipo: users | Fecha: 2026-05-06 15:01:46.452259
Usuario: Denisse | Busqueda: PC-01 | Tipo: computers | Fecha: 2026-05-06 15:04:41.512616
Usuario: Denisse | Busqueda: PC-01 | Tipo: computers | Fecha: 2026-05-06 15:04:51.411415
Usuario: Denisse | Busqueda: Valentina | Tipo: users | Fecha: 2026-05-07 09:55:22.529143
Usuario: Denisse | Busqueda: TODOS | Tipo: users | Fecha: 2026-05-07 11:13:52.571695
Usuario: Denisse | Busqueda: TODOS | Tipo: users | Fecha: 2026-05-07 11:16:32.514373
Usuario: Denisse | Busqueda: TODOS | Tipo: users | Fecha: 2026-05-07 11:16:34.417315
Usuario: Denisse | Busqueda: TODOS | Tipo: computers | Fecha: 2026-05-07 11:16:41.499469
Usuario: Denisse | Busqueda: valentina | Tipo: users | Fecha: 2026-05-07 11:18:19.698308
Usuario: Denisse | Busqueda: pc-01 | Tipo: users | Fecha: 2026-05-07 11:18:26.269478
Usuario: Denisse | Busqueda: pc-01 | Tipo: computers | Fecha: 2026-05-07 11:18:34.888097
Usuario: Denisse | Busqueda: pc-01 | Tipo: computers | Fecha: 2026-05-07 11:18:42.751848
Usuario: Denisse | Busqueda: TODOS | Tipo: users | Fecha: 2026-05-07 11:19:52.171518
Usuario: Denisse | Busqueda: TODOS | Tipo: users | Fecha: 2026-05-07 11:28:08.607370
Usuario: Denisse | Busqueda: valentina | Tipo: users | Fecha: 2026-05-07 11:28:13.925537
Usuario: Denisse | Busqueda: pc-2 | Tipo: computers | Fecha: 2026-05-07 11:28:21.356327
Usuario: Denisse | Busqueda: pc-02 | Tipo: computers | Fecha: 2026-05-07 11:28:27.004273
Usuario: Denisse | Busqueda: pc-02 | Tipo: computers | Fecha: 2026-05-07 11:28:39.087069
Usuario: Denisse | Busqueda: TODOS | Tipo: users | Fecha: 2026-05-07 11:43:00.619300
Usuario: Denisse | Busqueda: TODOS | Tipo: computers | Fecha: 2026-05-07 11:43:03.965872
